Composto;CAS;LRI;Referencia
6-fenil-undecano;6-fenil-undecano;0;
1-Propanol;71-23-8;1037;Quijano, Linares, et al., 2007
Etil trans-2-octenoato;7367-82-0;1540;Pino, Almora, et al., 2003
Etil alfa metil butirato;7452-79-1;1055;Kourkoutas, Elmore, et al., 2006
PI;75-05-8;0;
Etil trans-4-decenoato;76649-16-6;0;
Pentanoato de isopentila;78-78-4;0;
Isobutanol;78-83-1;1108;Botelho, Caldeira, et al., 2007
E-11,13-Tetradecadien-1-ol;80625-44-1;0;
Isobutil ftalato;84-69-5;2526;Umano, Hagi, et al., 1992
p-mentona;89-80-5;1451;Möllenbeck, König, et al., 1997
trans-2-hexenol;928-95-0;1409;Aubert and Chanforan, 2007
cis-3-hexen-1-ol;928-96-1;1383;Botelho, Caldeira, et al., 2007
trans-3-hexen-1-ol;928-97-2;1351;Verzera, Campisi, et al., 2001
Benzoato de etila;93-89-0;1644;Osorio, Alarcon, et al., 2006
1,2,4-trimetilbenzeno;95-63-6;1275;Alasalvar, Taylor, et al., 2005
2,4-Di-tert-butilfenol;96-76-4;2316;Chung, Yung, et al., 2002
Furfural;98-01-1;1465;Cho, Choi, et al., 2006
9-tetradecenoato de etila;9-tetradecenoato de etila;0;
Acetato isomentol;Acetato isomentol;0;
Amil ftalato;Amil ftalato;0;
Benzenoacetato de etila;Benzenoacetato de etila;0;
Decanoato de butila;Decanoato de butila;0;
Di etil acetal valeraldeído;Di etil acetal valeraldeído;0;
2-metiloctanoato de etila;Etil 2-metiloctanoato;0;
Etil alpha-toluato;Etil alpha-toluato;0;
Formiato de decila;Formiato de decila;0;
Isopropilidenociclopentadieno;Isopropilidenociclopentadieno;0;
Laurato de 2-metilbutila;Laurato de 2-metilbutila;0;
n-decil metanoato;n-decil metanoato;0;
Pentilciclopropano;pentil ciclopropano;;
